"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"[Преломление +]Добавить единицу к числу преломлений"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv25_1"				"[Встроенное] Интеграция навыков с героями, больше не имеет эффекта «прилива», но больше не занимает слот навыков и становится постоянным состоянием, атака имеет 10%% шанс вызвать эффект навыка, а затем увеличивает время КД на 1 секунду время КД больше, чем Не срабатывает через 10 секунд (данные навыка при разблокировке будут записаны, и вы сможете продолжить изучение якорного удара после слияния, но повторная разблокировка этого глубокого значения недействительна')"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv25_2"				"[Поглощение энергии] Увеличивает бонус силы атаки навыка на 1500. Этот эффект можно многократно увеличивать, а также он может сосуществовать с двумя другими Глубинными истинами, но после разблокировки других Глубинных истин вы больше не сможете продолжать  -Поглощение энергии-"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv25_3"				"[Критический удар] Увеличенное время восстановления при пассивном срабатывании увеличено до 2 секунд, но после срабатывания навыка, после задержки в 2 секунды и 4 секунды, случайная точка в Дальностье 1000 вызовет поток с Дальностьом 300, вызывая эффект навыка"



"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv5"				"[Быстрый+] эффект увеличен на 50%%"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv10"			"[Магическая защита+] эффект увеличен на 50%%"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv15"			"[Дикая ярость] Призванные юниты/юниты-герои имеют 15/5%% шанс вызвать безумие при атаке, увеличить скорость атаки на 100, получить вампирский эффект 10/5%% урона от атаки, длится 3 секунды, тот же юнит имеет 10-секундное время перезарядки (зависит от увеличения длительности положительного эффекта на 50%%)"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv20"			"[Дикая ярость+] Во время безумия иммунитет к магии, эффект увеличения скорости атаки увеличен на 50%%"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_base_Info"      "Бонус к скорости атаки: +2/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv25_1"				"[Autonomy Enhancement]When automatic casting is enabled, the summoned can no longer be controlled, but will gain 60%% attack speed bonus"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv25_2"				"[Soul Transfer]When the summoned dies, it will fuse the soul with the random summoned in the surrounding 1000 range, make the target gain attack damage bonus = 50%% of its attack damage (the current HP of this summoned unit needs to be greater than 1000, and the same unit can get 10 times of bonus at most)"
"DOTA_Tooltip_ability_Advanced_Inner_Beast_note_lv25_3"				"[Пробуждение тела]Summoned can ignore the move speed limit, and at the same time, the move speed is increased by 80%%, and the attack speed is increased by 25%%"





"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv5"				"[Выброс энергии+]Вероятность срабатывания увеличена до 40%%"
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv10"			"[Перенос урона+]Рассчитывает 170%% урона"
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv15"			"[Вознесение души] Если [Перенос урона] вызывает смерть, вы исцеляете себя на 10%% от максимального запаса здоровья"
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv20"			"[Расширение поля] Расширьте ореол с дальностью 1500, призванные существа в ореоле получают снижение урона на 20%% и увеличение урона на 20%%."
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_base_Info"      "Улучшение призыва: +0,8%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv25_1"				"[Производная энергии] Каждый раз, когда вызывается вызванный объект, усиление призыва, предоставляемое само по себе, увеличивается на 1%% (нелинейно), продолжительность — это время КД навыка призыва, и на него не влияет сопротивление магии. улучшение"
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv25_2"				"[Неразрушимый] Призванный объект получит сопротивление урону, равное количеству призванных объектов под именем заклинателя*3%%, когда он будет призван, но оно постепенно уменьшится до 0 в течение 20 секунд, а начальное сопротивление будет до 130 %%"
"DOTA_Tooltip_ability_Advanced_Soul_Link_note_lv25_3"				"[Трансформация души] При активации [Вознесения души] также временно увеличиваются все атрибуты самого себя на 5 пунктов, что длится 60 секунд и зависит от бонуса положительного эффекта, до 50 стаков."
